Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
-1,-11,-14,-12,-24,-10,-2,-2,-6,-32,-28,-25,-21,-17,-18,-18,-16,-25,-24,-20,-15,-53,-55,-78,-88,-68,-29,-33,-51,-22,-50,-30,-22,-17,-20,-23,-14,21,-14,-4,48,27,13,-1,8,17,-4,1,-24,-16,-34,-27,-22,-9,-7,-11,-19,-26,-18,-17,-17,-30,-24,-30,REST
-12,-17,-14,-11,-24,-10,-4,-13,-7,-25,-23,-22,-18,-14,-21,-26,-13,-24,-24,-23,-23,-122,-72,-73,-128,-19,-40,-12,-13,-56,-12,-18,-10,-16,-18,-20,-10,-6,1,15,22,-17,14,13,3,-18,-10,4,-23,-16,-29,-21,-24,-16,-13,-21,-22,-27,-23,-27,-25,-46,-38,-49,REST
17,-1,-3,-2,-18,-3,-1,-7,-4,-21,-13,-17,-9,-16,-26,-30,-13,-20,-16,-14,-14,-64,-53,-30,-71,-12,-29,-32,-22,-16,-12,-12,-6,-11,-13,-12,6,28,-19,9,1,-10,6,4,-7,-8,-15,-13,-25,-16,-23,-12,-12,-8,-10,-21,-23,-17,-11,-12,-14,-33,-18,-34,REST
-7,-4,-1,2,-9,7,9,-7,-6,-16,1,0,8,-5,-23,-24,-5,-4,2,4,-2,-33,-60,-48,-32,-73,-22,-2,-3,-34,1,-8,4,2,3,3,15,-12,3,2,-16,12,8,18,-3,-2,-20,-12,-27,-12,-16,-8,-8,-5,-9,-30,-27,-15,-11,-15,-21,-34,-15,-35,REST
-10,0,2,10,-1,11,5,2,-2,-10,2,3,4,-10,-23,-24,-6,2,4,5,-2,-53,-39,-46,-38,-40,-14,-2,17,-17,-37,-7,13,6,5,1,-12,10,-2,-12,-10,7,3,0,-4,2,-9,-3,-10,-2,-12,1,1,3,-1,-7,-10,-1,1,-7,7,-8,-3,-8,REST
6,10,16,17,3,10,-3,10,7,0,4,10,11,-1,-9,-18,4,6,7,15,12,-46,-48,-40,-115,4,-12,-12,-12,-4,-4,-2,14,6,1,-2,-7,13,-1,-30,-12,25,11,12,11,9,-4,-1,-5,-5,-20,-5,-2,3,1,-2,0,-3,-3,-11,10,-12,1,-14,REST
-8,-2,3,7,-3,5,-4,3,-3,-13,-16,-5,-1,-10,-13,-20,-5,-11,-5,4,3,-61,-61,-50,6,-45,-26,-12,-19,-20,-15,-14,2,-6,-5,-7,-4,23,-4,-3,17,3,9,11,4,3,-1,-2,-10,-11,-29,-17,-20,-10,-7,1,3,-8,-16,-25,13,-17,-22,-18,REST
-11,-8,-11,-7,-14,-6,-9,-7,-10,-25,-30,-22,-15,-10,-16,-23,-11,-23,-23,-12,-7,-79,-61,-58,-69,-41,-31,-26,-14,-32,-25,-8,-6,-11,-10,-11,-3,1,-7,-21,18,34,8,5,3,-1,2,-2,-5,-11,-22,-19,-24,-15,-17,-1,1,-11,-19,-31,7,-24,-25,-25,REST
-1,-11,-15,-7,-10,3,4,-5,-8,-20,-15,-11,-5,-5,-11,-8,-4,-10,-8,-5,-6,-81,-48,-50,-83,-41,-18,-6,-25,-34,-31,-20,-1,-4,-2,-1,17,2,7,3,22,-11,16,11,12,-6,9,5,2,0,-6,-10,-13,-6,-8,4,2,2,-11,-22,13,-16,-17,-17,REST
14,4,1,3,-6,-1,-5,17,4,-5,-4,-10,-7,-14,-4,-8,4,-3,-6,-10,-13,-61,-35,-80,-82,-24,-26,-53,-33,-7,-6,-7,-3,-14,-22,-30,-37,-1,-4,-12,-5,7,17,-13,7,-11,5,-2,-12,-8,-16,-18,-26,-20,-21,0,-5,-8,-23,-39,13,-18,-28,-22,REST
-16,-17,-24,-24,-40,-31,-33,-7,-20,-29,-31,-33,-33,-33,-22,-38,-23,-21,-31,-32,-31,-54,-95,-46,-45,-55,-55,-31,-65,-18,-22,-30,-17,-29,-36,-39,-29,-37,-20,-26,-54,-8,23,-26,-28,-20,-7,-12,-26,-20,-31,-24,-30,-27,-25,4,-2,-14,-26,-43,10,-27,-28,-27,REST
15,-4,-7,-10,-20,-11,-18,17,-5,-21,-20,-17,-15,-17,-4,-29,-14,-11,-11,-7,-5,-15,-24,-31,-36,-29,-22,-17,-4,-23,-20,-12,3,-6,-14,-18,-9,2,3,-25,60,15,11,6,22,5,1,-13,-23,-18,-29,-13,-14,-8,-10,-8,-2,-15,-16,-34,6,-22,-18,-24,REST
-5,-16,-14,-10,-21,-9,-13,-20,-24,-25,-26,-14,-11,-10,-21,-39,-26,-21,-15,-5,-5,-32,-50,-42,-4,-31,-27,-43,-41,-15,-18,-20,-1,-4,-12,-16,4,-2,-4,-18,7,7,1,3,1,-2,1,-18,-17,-18,-33,-16,-20,-14,-20,-3,-3,-14,-18,-31,3,-29,-28,-32,REST
-12,-4,-4,-1,-11,-3,-7,1,-8,-12,-14,-10,-7,-5,-9,-27,-14,-21,-8,-1,1,-41,-53,-58,-23,-21,-29,-6,-5,-2,-48,-15,-1,-6,-11,-14,-12,34,3,6,-10,18,9,18,9,-6,3,-13,-12,-11,-29,-14,-11,-8,-8,-5,-7,-13,-11,-12,6,-25,-6,-25,REST
-1,-5,-8,-11,-15,-10,-16,3,-7,-19,-23,-14,-12,-14,-1,-24,-8,-17,-10,-6,-8,-108,-56,-40,-97,-30,-25,-18,-12,-26,17,0,3,-7,-10,-14,-13,7,25,-18,32,27,23,10,12,5,7,-13,-6,-6,-25,-10,-10,0,3,2,1,-9,-6,-9,11,-14,-13,-15,REST
25,8,5,4,1,5,-11,16,-4,-20,-14,-6,-2,-11,-1,-22,-9,-16,-7,-6,-8,-48,-44,-33,-44,-16,-14,-13,-14,18,14,-5,7,-3,-4,-12,-17,-8,16,-13,14,-17,23,8,8,-6,-9,-26,-23,-24,-41,-28,-22,-17,-15,-20,-32,-26,-25,-36,-14,-39,-35,-42,REST
1,-17,-15,-6,-9,1,-8,-1,-24,-46,-32,-14,-12,-22,-19,-46,-30,-40,-21,-19,-20,-73,-51,-59,-67,-31,-26,-16,8,-22,-2,-17,-8,-14,-14,-18,-1,-13,-7,-7,-3,-11,18,-1,3,-9,-10,-31,-29,-25,-45,-30,-20,-20,-16,-18,-31,-24,-18,-30,-11,-33,-27,-34,REST
-11,-23,-26,-18,-17,-4,-7,-4,-25,-40,-29,-15,-11,-18,-16,-40,-29,-30,-14,-14,-14,-25,-61,-93,-34,-60,-37,-40,-44,-12,-28,-48,-29,-32,-25,-25,5,23,-7,-29,-21,-3,-4,-1,-28,-18,-24,-37,-29,-33,-43,-34,-28,-26,-27,-28,-33,-25,-26,-43,-14,-34,-37,-35,REST
-15,-29,-31,-23,-20,-7,-11,3,-24,-39,-27,-15,-15,-20,-7,-30,-20,-27,-13,-13,-18,-45,-49,-77,-72,-36,-41,-22,-43,-35,-14,-38,-20,-25,-17,-17,7,28,-13,-16,-62,15,-5,-17,-10,-5,-14,-24,-6,-8,-18,-11,-12,-10,-13,-15,-13,-1,-6,-26,1,-17,-8,-19,REST
-4,-12,-12,-4,-3,7,3,6,-1,-20,-6,2,1,-6,6,-10,7,-3,8,5,-3,-69,-69,-36,-65,-34,-30,-9,-44,-18,-24,-26,-11,-14,-10,-9,1,15,1,-22,31,8,2,-11,11,3,4,-10,8,2,-6,1,-11,-6,-8,1,0,7,-8,-34,11,-19,-21,-21,REST
4,-3,-5,-6,-5,7,4,6,4,-25,-14,-6,3,5,12,-4,9,-7,5,9,10,-69,-47,-37,-89,-47,-24,-21,-21,-68,17,-3,2,-9,-11,-14,-2,3,-7,-1,6,17,11,13,10,6,7,-8,9,6,-5,4,-2,3,1,4,1,13,3,-16,8,-6,6,-10,REST
13,-4,-6,-11,-12,1,-5,5,-1,-26,-27,-11,-5,-13,9,-10,4,-11,-5,1,2,-60,-56,-44,-77,-23,-26,-21,-18,-2,-6,-4,0,-7,-12,-18,-10,8,-28,-21,-25,28,7,15,-2,12,6,-12,9,2,-13,4,-1,4,3,4,0,11,2,-14,4,-20,-4,-21,REST
9,3,4,3,-3,6,-2,16,8,-18,-12,1,5,-1,16,-2,7,-7,1,5,6,-101,-63,-51,-35,-6,-18,-12,-2,2,3,3,6,3,-3,-6,0,15,3,2,36,2,17,14,23,8,14,-4,9,6,-7,3,-3,3,-1,7,1,8,1,-21,9,-12,-18,-14,REST
-15,-2,4,12,5,11,-2,11,6,-18,3,9,8,-2,12,-11,7,1,-2,4,2,-51,-40,-52,-80,-39,-19,-1,5,-13,-11,-19,1,-2,-3,-3,0,12,4,-14,25,-6,22,4,10,-2,5,-19,-1,-12,-18,-6,-10,-6,-13,-10,-16,-2,-6,-26,-2,-25,-20,-27,REST
-1,-8,-2,3,-8,-1,-10,3,-4,-32,-5,-3,-5,-11,4,-21,2,-1,-5,-4,-9,-68,-61,-41,-37,-83,-15,-13,-29,-14,-16,-32,-14,-12,-10,-12,-16,2,-2,-17,9,-5,18,-4,8,1,8,-15,10,-3,-11,0,-5,0,-7,4,-3,7,-3,-19,16,-12,-15,-12,REST
-17,-14,0,8,4,12,0,3,-1,-27,7,14,8,2,16,-6,17,13,8,12,5,-38,-32,-53,-26,-7,-5,-4,2,-28,11,-9,15,14,14,10,4,13,23,-11,-14,16,21,5,1,14,11,-9,21,12,5,4,1,6,-7,8,-2,14,-3,-27,17,-14,-28,-17,REST
23,11,16,25,17,24,9,16,7,-14,10,21,15,8,4,-7,20,13,15,21,11,-11,-40,-21,-54,4,6,-42,-35,-27,2,-4,17,14,12,7,17,14,-8,-21,21,22,27,-11,4,-3,4,-23,9,9,3,8,11,13,2,-3,-5,16,11,-7,11,-6,-4,-6,REST
-1,6,13,20,18,32,23,-5,4,-25,4,22,20,17,7,1,13,8,16,23,17,-25,-28,-48,-59,2,1,40,-9,1,63,11,15,10,10,13,25,-8,-10,-1,-2,48,2,1,-5,4,-8,-31,-2,-4,-15,-6,-2,1,-8,-8,-17,1,-7,-26,-6,-25,-23,-29,REST
-4,2,3,14,8,20,10,-7,8,-26,3,16,15,16,-1,1,14,12,10,20,13,-52,-38,-34,-24,-28,-5,13,-34,-15,-7,3,16,18,20,15,23,23,11,-7,-14,53,13,16,11,12,16,-7,25,18,6,7,16,17,11,8,12,21,12,-5,13,-7,-8,-7,REST
21,23,24,37,29,37,27,25,33,3,28,35,31,18,34,25,35,34,29,33,18,-61,-24,-48,-58,24,4,2,-17,-1,21,14,25,22,23,18,38,12,16,3,40,-12,33,9,26,16,28,2,30,17,6,8,11,12,5,16,14,22,8,-10,10,-14,1,-17,REST
30,17,12,24,15,20,8,8,16,-14,9,17,8,-5,11,1,12,13,12,5,-4,-42,-53,-46,-36,-4,-22,-5,-10,-10,-8,-12,4,-5,-3,-7,1,-8,-2,-19,17,-5,14,-5,16,8,7,-18,6,2,-7,-2,-2,7,1,-2,1,18,3,-14,1,-16,-11,-16,REST
-6,-10,-11,7,-8,-3,-19,2,-5,-29,-5,-1,-8,-13,3,-15,-3,2,-2,-2,-5,-74,-67,-48,-72,-59,-48,-27,-24,-2,-29,-38,-26,-26,-21,-27,-35,15,-15,-21,-7,-17,12,17,3,3,-6,-26,-14,-14,-25,-20,-13,-4,-7,-15,-16,-1,-8,-21,-8,-22,-20,-25,REST
-39,-40,-42,-26,-32,-26,-32,-22,-40,-61,-43,-25,-31,-27,-27,-41,-29,-25,-23,-22,-19,-67,-70,-49,-23,-90,-50,-39,-30,-16,-29,-61,-40,-40,-31,-35,-35,13,-18,-14,1,-1,6,-1,-13,1,-13,-31,-21,-18,-27,-17,-13,-1,-5,-13,-15,1,-3,-16,2,-16,-16,-16,REST
-12,-18,-19,-7,-14,-4,-7,7,-11,-32,-15,5,-4,-2,-11,-8,4,7,10,10,8,-32,-34,-52,-64,-23,-27,-19,-7,-39,21,-10,1,-3,1,-2,9,20,12,-12,-18,13,15,20,-4,11,-10,-18,1,4,-2,2,5,8,2,-8,-3,10,7,-10,9,-8,-3,-10,REST
22,10,10,24,10,11,4,0,10,-11,6,17,7,-3,-14,1,16,10,18,14,8,-18,-52,-26,-1,-20,-15,2,-10,-8,33,-1,13,6,5,2,13,10,-12,-11,18,12,-4,8,1,10,-4,-13,3,10,4,7,11,15,4,-1,5,22,16,-3,22,3,12,2,REST
-20,6,16,31,13,15,4,-6,16,8,21,32,23,10,5,18,35,23,31,34,21,-36,-32,-30,-56,-20,-5,-14,-6,10,11,14,27,20,12,5,18,23,15,11,2,22,14,13,9,16,12,3,17,30,26,27,24,27,10,4,17,38,28,9,23,5,19,3,REST
36,37,36,42,21,20,11,22,35,25,31,34,24,15,14,32,41,27,33,31,22,-97,-65,-91,-78,9,-27,-11,-45,-49,6,10,18,2,-3,-8,1,-2,13,-16,21,40,-2,1,13,7,17,2,15,23,15,16,15,21,8,9,20,31,27,11,25,11,23,8,REST
24,21,17,21,3,9,5,14,20,12,10,14,8,7,15,26,32,15,21,21,16,-73,-63,-50,-77,-1,-26,-2,-13,-6,16,3,10,-5,-5,-6,3,-18,4,12,30,31,26,-14,25,18,21,13,10,18,11,13,11,19,14,10,24,23,21,8,22,5,21,2,REST
9,10,6,7,-2,5,9,26,14,1,-10,5,5,18,22,23,21,2,11,14,16,-39,-45,-44,-34,-33,-28,-13,-32,12,2,-6,2,-10,-11,-16,-4,20,9,8,17,17,21,-20,6,4,3,-7,-9,-7,-15,-17,-21,-15,-16,-15,-7,-13,-17,-36,-10,-30,-36,-32,REST
8,-1,-7,-1,-14,-3,-5,11,-1,-26,-23,-6,-6,-3,11,0,5,-9,-3,-3,-3,-27,-48,-34,-31,-8,-7,-17,-35,8,34,6,25,14,14,8,24,26,36,7,-43,34,27,18,12,-5,11,5,15,11,1,-2,-10,-4,-8,-10,4,0,-6,-29,-5,-25,-32,-27,REST
9,16,19,24,17,26,18,30,13,2,5,18,12,6,15,5,20,9,8,1,-3,-28,-41,-58,-44,-38,-12,10,10,1,33,0,15,6,6,4,2,18,16,-31,16,-15,6,17,-4,-4,-12,-14,-4,-4,-5,-6,-18,-16,-20,-29,-16,-10,-15,-41,-21,-39,-34,-41,REST
6,1,12,23,2,5,-10,-10,0,6,12,19,5,-10,-20,-4,12,11,15,3,-4,-52,-53,-34,-1,-35,-27,-26,-30,-40,12,-9,10,-2,-6,-10,-4,12,-5,-7,2,-11,-1,7,-13,-5,-14,-19,-10,-5,-8,-1,-13,-6,-13,-27,-20,-5,-6,-31,-24,-34,-34,-34,REST
-4,2,11,18,-3,0,-18,-2,12,20,14,14,6,-7,-11,14,27,19,20,10,3,-27,-45,-33,-45,-12,-13,-6,-2,22,14,8,22,13,9,-2,-9,3,7,-8,7,2,20,1,18,3,25,12,20,24,17,20,5,12,-1,8,5,21,11,-10,14,4,-1,2,REST
7,24,26,30,8,16,-3,24,33,30,18,17,11,2,10,29,35,27,22,14,3,-30,-25,-16,-51,-5,-10,-10,2,6,10,-3,14,2,-1,-6,-12,14,27,-23,8,7,8,-15,11,-7,20,4,5,5,-7,-4,-15,-8,-21,1,-6,7,-8,-34,1,-19,-33,-22,REST
15,17,4,3,-12,-4,-13,17,19,-1,-10,-4,-4,-8,-1,1,13,-3,-6,-5,-12,-58,-50,-36,-18,-31,-26,-8,-7,-12,20,-2,3,-8,-8,-12,-10,-10,21,2,26,-15,-24,-17,11,-20,13,-7,-15,-13,-28,-19,-30,-22,-33,-9,-16,-11,-24,-44,-14,-40,-52,-41,REST
20,8,-5,-5,-19,-5,-11,7,2,-9,-20,-13,-10,-14,-6,-17,-3,-16,-16,-16,-22,-87,-64,-62,-116,-35,-34,-17,-21,-56,-19,-5,-3,-14,-16,-17,-3,21,14,-11,13,-5,29,-7,11,-22,21,7,-5,-5,-18,-20,-28,-17,-34,-4,-8,-7,-16,-37,1,-23,-30,-24,REST
12,5,-7,-4,-13,2,3,5,3,-13,-8,-5,-3,-5,-4,-13,2,-3,-6,-5,-8,-69,-32,-75,-114,8,-21,-9,-12,-17,14,-8,5,-11,-5,1,31,26,29,5,19,29,21,-13,16,-3,17,13,3,6,-3,-3,-10,1,-15,-5,-3,3,-6,-28,-2,-19,-16,-21,REST
14,8,3,16,1,14,19,12,9,4,11,11,12,6,2,-5,15,6,7,5,2,-27,-52,-22,9,-37,-26,-44,-40,-5,30,-23,-5,-16,-15,-16,-6,-4,-12,-12,-5,-10,12,-4,-8,-7,-7,-16,-22,-5,-13,-11,-16,-11,-26,-31,-24,-5,-14,-37,-24,-45,-42,-48,REST
-35,-27,-22,-3,-14,-6,-12,-36,-24,-18,-4,0,-2,-11,-31,-26,-2,-2,4,-1,-1,-44,-65,-74,-54,-51,-39,-14,-24,-29,-67,-53,-22,-29,-18,-13,1,33,-4,-51,-13,7,-5,17,-14,-1,-10,-15,-21,-1,-8,-6,-8,-1,-13,-21,-14,3,-6,-20,-8,-31,-22,-33,REST
-21,-21,-19,-6,-11,2,-5,-11,-14,-18,-10,1,4,-3,-12,-10,13,3,9,6,12,-36,-51,-39,7,9,-16,-12,-36,12,22,-13,-3,-13,-11,-11,-3,-7,2,-17,-23,12,19,14,-4,12,4,2,-6,10,-3,-2,2,11,-4,-7,-3,3,1,-16,-3,-23,-8,-24,REST
11,1,-8,-5,-22,-12,-17,13,-2,-6,-11,-2,-3,-6,-3,-4,11,-4,-1,-2,5,-77,-58,-37,-98,-10,-30,-32,-24,-20,18,-6,1,-16,-18,-20,-10,-6,26,-4,-3,24,-11,-4,7,-3,11,5,-9,1,-18,-11,-5,0,-14,-6,-7,-10,-9,-26,-10,-30,-26,-32,REST
-8,-8,-12,-3,-17,-7,-10,-6,-7,-7,-10,-4,-2,7,-10,-15,-6,-12,-7,-3,3,-22,-64,-50,-18,-44,-46,-20,-52,-13,-6,-35,-22,-26,-27,-28,-16,25,-3,-6,2,14,-2,-13,-11,2,4,-2,-17,-4,-25,-16,-7,2,-7,-6,-5,-7,-2,-13,-4,-24,-10,-24,REST
-13,-8,-13,-7,-21,-9,-8,-1,-1,4,-9,-1,-2,-2,-2,-12,-1,-8,2,2,5,-80,-70,-59,-96,-44,-42,-33,-9,-34,-1,-30,-20,-25,-29,-31,-28,-15,1,-15,-26,-18,-20,-4,-10,-7,-7,-7,-17,-9,-30,-17,-12,-3,-13,-12,-11,-8,-3,-17,-8,-18,-8,-19,REST
1,-10,-17,-10,-23,-13,-13,-1,-8,3,-6,3,1,-4,-4,-11,-2,-4,10,7,5,-112,-64,-69,-62,-24,-40,-19,-25,-45,31,-18,-14,-17,-18,-18,-9,13,-19,-3,-27,8,1,-13,-3,-4,4,5,-7,1,-10,0,0,3,-7,-4,-2,3,5,-11,7,-15,-2,-17,REST
-13,-12,-21,-6,-15,-4,-6,-11,-14,0,-7,3,4,1,-7,-12,-3,-13,2,6,3,-25,-65,-82,-37,-46,-34,-25,-32,-3,-14,-24,-16,-14,-15,-20,-3,-12,-1,-41,19,10,5,10,-4,-3,7,13,-1,3,-6,-5,-2,-6,-10,3,4,6,1,-20,16,-12,-8,-14,REST
-31,-22,-24,-6,-18,-7,-9,-6,-13,-14,-17,-6,-1,-3,1,4,5,-4,2,-3,3,-46,-42,-42,-36,-54,-20,-13,-32,-21,-35,-39,-8,-3,-3,-8,11,-6,7,-6,19,23,13,3,25,3,31,39,17,25,3,5,7,5,-1,30,29,16,12,-8,41,4,10,2,REST
5,3,2,13,1,6,3,18,4,4,-2,9,5,-1,12,11,17,7,11,1,7,-21,-61,-39,-47,-53,-15,-20,-24,-28,4,-18,0,-2,-7,-20,-21,20,9,-22,8,3,6,7,5,1,22,27,-1,10,-6,-12,-3,-6,-9,18,10,-1,-4,-21,25,-5,-7,-8,REST
1,1,1,14,-7,-4,-18,10,1,-1,1,0,-2,-13,4,8,13,2,6,-6,-3,-87,-53,-67,-93,-18,-24,-44,-49,-29,-10,-10,4,4,-7,-15,-13,24,-2,-10,5,-28,-7,-14,15,1,22,18,0,7,-7,-10,-2,-1,-6,8,5,-4,3,-14,18,-9,-2,-10,REST
3,8,3,15,-3,4,-11,13,4,7,5,4,2,-7,8,7,23,12,15,-2,5,-73,-79,-43,-69,-20,-29,-19,-21,-14,8,-10,9,8,-2,-9,1,4,-1,-2,-25,18,-1,-6,4,4,29,33,21,29,16,7,13,6,-4,25,27,14,12,-12,34,8,6,6,REST
-2,5,4,15,-5,0,-12,8,-4,4,7,5,-3,-16,10,6,22,18,11,-7,-8,-53,-55,-59,-82,-23,-27,-32,-44,-32,40,-2,8,-1,-8,-20,-28,-6,-25,-24,20,-8,6,14,18,-5,18,23,6,9,-1,-8,-4,-8,-17,5,13,1,-2,-23,14,-17,-15,-20,REST
-2,-1,-1,13,-8,-4,-17,-4,-12,1,-4,1,-6,-17,0,3,3,6,4,-6,-4,-53,-55,-57,-17,-5,-21,-16,6,-39,2,-5,5,-4,-13,-18,-21,13,-15,-24,-5,2,-15,2,-1,-4,18,29,6,6,-5,-11,0,-2,-11,18,21,2,5,-15,29,-4,2,-5,REST
-8,-11,-17,-8,-20,-7,-13,4,-13,-20,-20,-5,-8,-12,11,8,5,-3,3,-3,2,-50,-52,-61,-74,-26,-33,-17,-20,-27,-24,-21,-13,-15,-17,-18,-7,-28,5,-32,15,7,9,8,22,3,40,47,19,16,6,-8,10,6,-4,32,38,3,10,-10,48,13,25,12,REST
-12,-11,-20,-7,-13,0,1,5,-6,-6,-10,4,5,5,11,6,11,5,10,11,15,-74,-18,-55,-70,-36,-24,-8,-14,-25,-23,-24,-15,-11,-9,-7,13,17,11,-3,17,36,12,16,20,19,32,40,23,21,7,0,14,10,4,26,34,3,11,-7,42,11,11,9,REST
-4,-6,-17,-1,-12,0,12,13,2,2,-3,8,11,22,12,12,17,10,17,18,28,-39,-78,-67,-54,-54,-34,-41,-65,-29,-12,-36,-20,-18,-20,-21,-7,-10,17,24,-3,67,19,-15,19,28,35,52,32,30,20,10,29,23,10,30,48,9,23,6,52,21,34,19,REST
2,-2,-16,-6,-17,-10,3,25,11,2,-7,-3,-3,3,15,18,16,0,6,8,10,-77,-84,-78,-43,-36,-54,-35,-43,7,-17,-37,-25,-33,-35,-31,-22,-5,23,-34,33,8,10,-16,36,1,39,46,24,21,0,-4,18,21,7,37,43,2,16,9,51,20,31,18,REST
