Time,Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
0.2,-49,-45,-49,-47,-56,-56,-38,-47,-59,-42,-40,-45,-46,-8,-44,-40,-38,-40,-42,-45,-24,-87,-59,-74,-73,-75,-59,-59,-52,-39,-56,-58,-59,-57,-62,-63,-75,-63,-77,-18,2,-18,-26,5,-45,-20,-27,-25,-43,-43,-55,-46,-34,-33,-24,-34,-37,-41,-40,-61,-41,-31,-35,-39,REST
0.2063,-32,-50,-54,-58,-70,-68,-58,-50,-61,-51,-53,-59,-57,-24,-46,-45,-42,-48,-51,-53,-30,-114,-68,-85,-64,-65,-52,-65,-58,-63,-54,-54,-56,-53,-50,-52,-58,-76,-95,-17,5,-15,-16,7,-32,-13,-20,-18,-34,-32,-43,-33,-22,-20,-11,-24,-26,-29,-23,-46,-26,-24,-25,-36,REST
0.2125,-10,-30,-33,-39,-41,-40,-11,-31,-42,-32,-32,-35,-29,-2,-28,-27,-25,-24,-25,-27,-5,-119,-54,-76,-49,-49,-34,-36,-28,-37,-42,-44,-45,-42,-34,-36,-36,-70,-92,-1,14,1,8,20,-26,-1,-11,-10,-24,-24,-31,-21,-13,-11,-4,-18,-20,-23,-18,-41,-23,-21,-19,-31,REST
0.2188,-48,-42,-46,-45,-49,-49,-26,-49,-58,-42,-38,-44,-41,-12,-38,-40,-37,-35,-34,-40,-23,-81,-65,-89,-58,-58,-56,-60,-52,-25,-60,-61,-61,-59,-63,-64,-59,-75,-79,-21,10,-20,2,16,-32,-19,-22,-23,-36,-36,-43,-35,-27,-25,-21,-30,-31,-31,-29,-49,-33,-26,-17,-30,REST
0.225,-60,-58,-63,-60,-70,-69,-71,-61,-66,-50,-49,-54,-53,-14,-41,-42,-40,-40,-36,-39,-22,-51,-55,-81,-37,-37,-50,-65,-58,3,-55,-54,-55,-54,-58,-60,-36,-39,-45,-4,14,-2,2,15,-8,-2,-10,-10,-24,-23,-30,-23,-15,-13,-1,-18,-20,-20,-16,-37,-22,-20,-12,-31,REST
0.2313,-39,-48,-53,-50,-57,-55,-55,-48,-51,-37,-37,-40,-41,2,-32,-30,-28,-27,-26,-26,-8,-58,-48,-63,-12,-13,-47,-50,-42,27,-60,-61,-62,-60,-58,-60,-28,-41,-39,-2,-27,-2,4,-1,-25,-3,-16,-15,-26,-26,-33,-27,-20,-17,-7,-23,-24,-23,-23,-45,-26,-16,-12,-33,REST
0.2375,-38,-53,-58,-52,-58,-58,-48,-50,-54,-41,-41,-42,-43,-7,-34,-33,-31,-30,-31,-28,-6,-67,-58,-63,-56,-58,-57,-58,-51,-1,-62,-63,-64,-61,-56,-58,-33,-71,-56,-5,-46,-3,8,10,-36,-2,-12,-11,-18,-18,-26,-18,-11,-7,-2,-12,-12,-12,-8,-29,-13,5,2,-9,REST
0.2438,-20,-34,-39,-35,-40,-40,-22,-25,-31,-21,-24,-26,-24,3,-11,-12,-10,-13,-16,-10,13,-89,-59,-61,-83,-84,-44,-76,-71,-23,-43,-44,-46,-44,-42,-44,-37,-67,-62,-2,10,0,10,25,-12,-2,-1,-1,-10,-10,-20,-10,-2,-1,-7,-6,-6,-9,-2,-24,-10,8,3,-4,REST
0.25,-32,-37,-42,-39,-44,-44,-24,-44,-43,-31,-31,-33,-33,-15,-25,-25,-22,-26,-29,-21,-3,-116,-77,-90,-80,-79,-61,-83,-78,-50,-57,-59,-60,-58,-60,-61,-72,-80,-78,-25,22,-23,-6,4,-15,-22,-20,-20,-32,-32,-41,-30,-21,-20,-25,-26,-27,-30,-24,-46,-31,-12,-15,-26,REST
0.2563,-23,-43,-48,-45,-55,-53,-32,-56,-58,-40,-38,-41,-42,-15,-40,-37,-33,-36,-35,-23,-6,-116,-78,-87,-93,-93,-51,-61,-54,-71,-36,-35,-37,-35,-48,-50,-54,-56,-64,-1,12,3,11,24,-21,4,-10,-10,-22,-22,-29,-17,-10,-7,6,-14,-15,-20,-11,-34,-16,-4,-13,-18,REST
0.2625,-8,-21,-24,-25,-34,-32,-25,-31,-36,-16,-16,-20,-29,11,-23,-17,-15,-16,-17,-9,8,-84,-51,-41,-48,-48,-30,-56,-49,6,-25,-26,-29,-26,-33,-35,-48,-55,-34,2,-8,2,6,31,-29,1,-11,-11,-22,-23,-25,-18,-14,-12,-8,-21,-21,-25,-18,-41,-25,-7,-18,-19,REST
0.2687,-40,-38,-43,-39,-46,-46,-48,-45,-52,-32,-31,-37,-52,-19,-46,-39,-35,-35,-40,-36,-17,-81,-69,-48,-53,-54,-54,-69,-63,4,-63,-65,-65,-63,-58,-59,-92,-91,-56,-26,-23,-23,-10,24,-32,-22,-33,-32,-45,-45,-46,-40,-34,-32,-23,-43,-43,-42,-35,-56,-45,-28,-29,-35,REST
0.275,-61,-51,-56,-49,-60,-59,-59,-58,-60,-37,-39,-42,-53,-12,-48,-40,-36,-36,-37,-33,-8,-72,-53,-37,-39,-40,-39,-24,-18,1,-53,-52,-53,-52,-46,-48,-53,-48,-69,2,23,4,6,23,-7,5,-11,-11,-26,-25,-26,-21,-14,-12,6,-23,-23,-25,-15,-38,-24,-22,-18,-23,REST
0.2812,-26,-22,-26,-27,-36,-36,-36,-32,-33,-13,-19,-21,-31,8,-22,-17,-14,-20,-19,-15,7,-56,-37,-41,-36,-37,-32,-31,-25,-23,-44,-45,-47,-45,-41,-42,-18,-15,-74,2,20,3,-1,11,-21,2,-8,-8,-21,-21,-27,-23,-18,-16,-3,-19,-23,-25,-24,-45,-26,-26,-24,-33,REST
0.2875,-33,-33,-37,-35,-47,-47,-45,-42,-45,-26,-29,-33,-41,-7,-27,-26,-23,-29,-26,-25,-2,-73,-70,-82,-76,-77,-53,-60,-54,-46,-41,-41,-42,-40,-47,-48,-52,-52,-61,-10,-14,-7,10,18,-30,-7,-4,-3,-12,-11,-21,-14,-11,-9,-8,-5,-8,-12,-13,-33,-7,-11,-14,-17,REST
0.2938,1,-16,-20,-17,-27,-25,-10,-18,-27,-5,-7,-11,-15,-2,2,1,2,-3,1,-1,19,-97,-70,-72,-62,-63,-32,-47,-41,-18,-17,-17,-19,-17,-21,-24,-50,-51,-59,-5,43,-4,45,30,20,-5,27,29,15,15,2,5,2,4,-10,18,14,1,0,-22,12,4,-7,-1,REST
0.3,23,-3,-6,-5,-17,-15,-8,-4,-14,5,1,-4,-14,-11,7,5,7,-2,-3,-8,7,-83,-56,-66,-44,-43,-30,-18,-11,-7,-30,-31,-32,-29,-29,-30,-64,-13,-21,-12,28,-11,20,8,7,-10,15,16,3,4,-11,-12,-17,-15,-10,6,2,-11,-18,-40,-1,-5,-17,-15,REST
0.3063,1,-7,-11,-6,-24,-23,-35,-11,-17,8,-1,-7,-20,3,0,2,6,-4,-4,-10,5,-61,-39,-42,-39,-39,-15,-15,-8,8,-12,-12,-13,-10,-6,-10,-36,-16,14,18,20,22,23,16,3,23,30,30,23,24,14,12,6,9,26,26,24,12,11,-12,24,17,5,12,REST
0.3125,9,20,15,24,9,9,-5,5,6,42,30,24,7,33,19,30,32,25,26,20,33,-58,-19,-20,-17,-18,8,-27,-22,23,11,11,8,11,13,10,-15,-36,-3,26,14,25,37,14,4,24,33,33,31,31,24,21,14,16,15,26,23,14,12,-10,20,14,5,11,REST
0.3188,3,13,8,15,1,1,-8,-14,-8,27,17,11,-7,3,1,12,15,8,10,5,14,-91,-51,-49,-44,-46,-20,-61,-55,-30,-24,-25,-26,-24,-16,-17,-27,-77,-41,-7,7,-7,6,11,-13,-5,17,18,12,11,5,5,0,2,-5,17,12,1,1,-20,9,6,-2,7,REST
0.325,1,1,-4,-1,-13,-13,-20,-25,-14,17,7,4,-7,6,-1,8,12,5,13,12,24,-69,-39,-43,-83,-84,-25,-27,-21,-44,-22,-21,-21,-21,-13,-15,-21,-53,-27,21,50,24,17,42,13,25,28,29,20,20,17,18,20,21,25,19,15,3,14,-8,10,1,-7,1,REST
0.3313,3,5,1,4,-4,-4,-5,-20,-10,20,11,11,4,23,2,9,11,6,15,17,32,-54,-39,-37,-65,-66,-34,-23,-16,-6,-27,-30,-31,-29,-29,-31,-58,-43,-44,8,37,9,13,37,-1,7,-1,-1,-6,-6,-7,-5,-1,2,-1,-14,-18,-23,-12,-33,-23,-25,-27,-18,REST
0.3375,-43,-37,-42,-30,-35,-35,-27,-54,-48,-18,-23,-21,-25,-10,-33,-28,-23,-27,-16,-11,5,-69,-76,-71,-68,-69,-61,-49,-43,-2,-61,-63,-64,-61,-51,-53,-67,-34,-56,-17,-26,-15,-13,25,-42,-13,-25,-25,-27,-27,-25,-19,-11,-9,-14,-25,-30,-30,-16,-39,-32,-29,-29,-23,REST
0.3438,-59,-49,-54,-40,-42,-42,-32,-56,-52,-25,-27,-25,-26,-5,-37,-27,-24,-26,-10,-6,12,-95,-70,-59,-72,-72,-46,-29,-22,-15,-62,-61,-63,-61,-43,-46,-52,-20,-63,-3,-48,-2,-5,26,-55,-2,-20,-20,-25,-23,-18,-13,-8,-6,-5,-16,-23,-27,-15,-36,-25,-27,-31,-29,REST
0.35,-44,-39,-43,-36,-40,-41,-36,-59,-48,-23,-26,-26,-35,-5,-39,-26,-25,-27,-18,-18,3,-138,-80,-52,-76,-77,-43,-37,-31,-56,-61,-62,-63,-61,-43,-45,-55,-40,-89,-5,-23,-3,-8,11,-42,-2,-23,-23,-29,-28,-28,-26,-22,-21,-3,-21,-31,-33,-30,-50,-34,-32,-33,-33,REST
0.3563,-28,-32,-36,-33,-38,-39,-29,-52,-41,-20,-24,-27,-39,6,-37,-24,-22,-30,-27,-30,-5,-93,-62,-46,-52,-52,-38,-28,-21,2,-33,-34,-35,-33,-32,-34,-42,-26,-27,13,-1,16,-15,15,-21,16,-15,-14,-21,-20,-22,-24,-19,-17,15,-16,-26,-30,-24,-46,-28,-30,-30,-24,REST
0.3625,-38,-20,-25,-19,-21,-22,-9,-39,-29,-8,-11,-14,-26,17,-24,-14,-12,-24,-22,-29,-7,-52,-35,-36,-44,-45,-34,-25,-20,17,-30,-32,-33,-31,-29,-31,-25,-29,1,7,5,7,-11,15,-20,6,-19,-17,-31,-30,-33,-35,-32,-31,-1,-25,-36,-43,-40,-62,-40,-43,-43,-33,REST
0.3688,-52,-37,-42,-37,-41,-43,-31,-68,-53,-32,-31,-31,-48,-8,-43,-36,-33,-45,-41,-49,-31,-56,-54,-60,-85,-87,-60,-65,-59,-36,-63,-64,-65,-63,-52,-54,-49,-84,-32,-15,-14,-13,-4,8,-37,-12,-31,-30,-39,-38,-41,-39,-34,-32,-13,-30,-37,-40,-37,-59,-39,-38,-36,-28,REST
0.375,-25,-34,-37,-41,-49,-49,-43,-53,-41,-24,-26,-27,-40,-6,-27,-20,-18,-30,-21,-27,-11,-89,-57,-49,-79,-78,-45,-46,-39,-39,-49,-47,-50,-48,-41,-43,-69,-57,-46,-1,-6,2,33,23,-24,2,-3,-4,-7,-6,-10,-9,-6,-3,-1,-4,-10,-17,-14,-37,-11,-23,-25,-19,REST
0.3813,-5,-16,-20,-31,-36,-37,-42,-33,-24,-11,-15,-18,-27,-3,-8,-6,-4,-20,-10,-15,-2,-98,-60,-48,-67,-68,-47,-44,-37,-30,-51,-53,-54,-53,-49,-51,-101,-59,-39,-12,-2,-11,-6,23,-29,-11,-16,-16,-21,-20,-24,-25,-18,-16,-14,-21,-27,-32,-33,-55,-31,-38,-37,-35,REST
0.3875,-52,-42,-46,-49,-52,-52,-48,-64,-51,-35,-36,-39,-42,-11,-26,-28,-24,-40,-27,-31,-15,-83,-72,-56,-59,-59,-60,-81,-74,-17,-64,-64,-64,-62,-45,-48,-87,-72,-33,-4,8,0,-18,13,-20,1,-13,-12,-20,-18,-21,-18,-8,-5,3,-12,-18,-15,-13,-35,-17,-21,-15,-13,REST
0.3938,-44,-25,-30,-26,-29,-27,-21,-46,-32,-13,-14,-16,-21,12,-15,-5,-4,-20,-4,-6,9,-76,-54,-44,-39,-39,-33,-52,-45,16,-22,-21,-23,-22,-20,-22,-67,-40,-7,13,-12,15,8,20,-27,15,-5,-5,-7,-6,-8,-3,4,6,9,-5,-10,-6,-2,-25,-13,-20,-13,-20,REST
0.4,-39,-25,-30,-26,-32,-32,-32,-54,-41,-16,-18,-22,-33,-1,-37,-18,-16,-33,-19,-23,-8,-70,-56,-59,-46,-48,-50,-31,-24,19,-41,-44,-45,-43,-52,-52,-72,-37,-31,-18,-15,-18,-12,7,-45,-18,-29,-28,-31,-31,-35,-32,-24,-22,-26,-30,-35,-31,-29,-50,-39,-41,-33,-52,REST
0.4062,-56,-50,-56,-50,-64,-65,-55,-81,-67,-36,-41,-45,-58,-26,-61,-36,-33,-48,-36,-41,-24,-78,-61,-68,-61,-62,-62,-34,-27,-20,-57,-56,-58,-55,-62,-63,-49,-55,-45,-19,-8,-15,5,8,-32,-14,-16,-15,-20,-19,-23,-21,-15,-12,-10,-16,-20,-17,-12,-34,-20,-23,-21,-25,REST
0.4125,-25,-29,-33,-31,-45,-45,-35,-54,-37,-10,-18,-23,-38,2,-35,-5,-5,-21,-11,-18,-6,-103,-65,-43,-66,-65,-43,-47,-40,-37,-36,-35,-37,-36,-39,-42,-56,-64,-44,1,-5,1,22,13,-28,-1,-1,-1,-3,-4,-10,-10,-11,-8,-7,-6,-8,-11,-12,-34,-12,-13,-17,-8,REST
0.4188,-3,-25,-29,-30,-42,-41,-41,-46,-31,-13,-24,-29,-46,-20,-37,-10,-7,-29,-24,-31,-25,-96,-65,-49,-65,-67,-55,-62,-55,-42,-52,-54,-56,-53,-49,-49,-87,-88,-70,-32,-14,-31,2,-3,-37,-30,-17,-17,-20,-19,-24,-23,-25,-23,-33,-22,-24,-20,-23,-45,-26,-18,-21,-23,REST
0.425,-30,-34,-39,-32,-43,-42,-35,-57,-36,-16,-24,-26,-41,-23,-36,-12,-7,-26,-16,-21,-15,-71,-46,-58,-44,-44,-45,-44,-39,-2,-46,-46,-47,-45,-28,-31,-60,-68,-81,-5,22,-1,25,14,-5,1,2,2,-4,-2,-3,3,3,5,5,1,-3,3,7,-15,-3,1,-2,-9,REST
0.4313,-52,-21,-25,-15,-24,-23,-21,-55,-30,-3,-8,-8,-21,13,-22,-1,3,-14,2,0,11,-72,-40,-39,-36,-36,-40,-31,-24,11,-39,-41,-42,-41,-32,-34,-51,-34,-81,10,0,11,16,17,-19,10,-4,-4,-10,-10,-10,-5,-3,-2,4,-6,-12,-8,-8,-31,-16,-12,-17,-21,REST
