Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
-22,-38,-68,-46,-47,-34,-35,-80,-23,-45,-40,-20,-41,-37,-8,-48,-21,-32,-23,-46,-25,-68,-66,-42,-65,-64,-33,-38,-62,-27,-68,-64,-50,-42,-31,-31,-40,40,-50,234,-17,-31,-3,-15,-43,-31,-11,-25,-26,-37,-36,-41,-23,-30,-32,-30,-30,-41,-35,-27,-27,-25,-31,-23,REST
-21,-36,-65,-42,-43,-26,-29,-76,-21,-46,-41,-18,-37,-31,-7,-49,-25,-36,-25,-44,-22,-77,-86,-53,-89,-77,-36,-48,-56,-36,-71,-68,-57,-47,-30,-30,-42,37,-54,229,-22,-27,-8,-21,-53,-21,-25,-34,-34,-46,-39,-44,-26,-32,-33,-40,-35,-44,-37,-30,-33,-29,-34,-28,REST
-23,-39,-66,-44,-45,-29,-31,-77,-22,-49,-42,-16,-39,-32,-4,-45,-24,-32,-18,-45,-20,-74,-71,-48,-78,-76,-35,-45,-57,-35,-72,-60,-49,-43,-27,-27,-40,41,-46,229,-9,-22,-7,-21,-36,-10,-12,-18,-17,-31,-25,-30,-13,-22,-22,-24,-22,-27,-24,-13,-21,-16,-21,-18,REST
-7,-26,-53,-34,-34,-21,-22,-70,-6,-34,-32,-6,-32,-26,4,-39,-15,-20,-8,-34,-20,-58,-51,-34,-64,-65,-25,-41,-62,-25,-61,-58,-42,-39,-22,-23,-45,41,-34,223,-7,-22,-6,-24,-40,-18,-15,-22,-20,-30,-26,-33,-20,-29,-28,-34,-31,-35,-31,-22,-30,-23,-30,-28,REST
-15,-33,-61,-39,-40,-27,-29,-89,-17,-42,-39,-17,-40,-32,-10,-49,-23,-29,-16,-47,-30,-70,-65,-50,-61,-65,-29,-49,-59,-32,-66,-63,-48,-42,-31,-31,-40,41,-40,210,-16,-28,-10,-33,-56,-32,-28,-29,-23,-34,-30,-37,-26,-36,-33,-35,-30,-34,-35,-26,-28,-23,-33,-29,REST
-12,-27,-55,-33,-33,-26,-28,-81,-12,-35,-31,-8,-34,-29,3,-39,-12,-16,-8,-46,-26,-64,-64,-36,-61,-53,-24,-34,-38,-33,-65,-59,-40,-33,-24,-24,-29,50,-35,221,-8,-25,-6,-24,-34,-18,-6,-11,-5,-16,-15,-23,-11,-20,-20,-16,-11,-16,-20,-12,-13,-7,-14,-15,REST
-6,-22,-48,-30,-31,-22,-25,-70,-3,-26,-27,-3,-27,-26,12,-33,-5,-9,-3,-35,-23,-52,-64,-35,-53,-55,-30,-37,-50,-42,-69,-71,-44,-37,-29,-30,-44,39,-37,220,-5,-27,-18,-27,-39,-21,-15,-20,-10,-26,-23,-27,-19,-23,-27,-31,-25,-29,-28,-18,-26,-20,-25,-27,REST
-20,-40,-63,-46,-48,-35,-37,-87,-23,-43,-45,-15,-37,-27,-3,-46,-21,-22,-16,-39,-27,-64,-74,-53,-75,-80,-48,-56,-73,-61,-91,-88,-60,-52,-39,-39,-58,31,-51,212,-20,-30,-14,-34,-56,-28,-27,-32,-21,-39,-35,-36,-24,-27,-31,-36,-32,-37,-35,-24,-31,-26,-33,-31,REST
-25,-40,-64,-44,-46,-31,-34,-77,-21,-41,-44,-13,-34,-23,1,-43,-17,-19,-14,-35,-24,-70,-75,-40,-82,-115,-37,-58,-50,-54,-93,-70,-39,-38,-29,-29,-58,37,-48,211,-24,-25,-13,-35,-43,-22,-15,-22,-14,-28,-28,-29,-17,-24,-27,-25,-24,-31,-29,-21,-26,-22,-29,-25,REST
-20,-33,-51,-36,-38,-25,-28,-87,-18,-35,-39,-12,-34,-20,-3,-51,-18,-22,-13,-41,-25,-67,-78,-51,-76,-73,-36,-43,-53,-52,-96,-69,-40,-40,-28,-30,-55,40,-48,202,-19,-33,-23,-46,-58,-40,-27,-34,-26,-37,-33,-35,-25,-31,-37,-42,-39,-36,-34,-25,-35,-31,-33,-36,REST
-22,-38,-57,-39,-41,-25,-28,-97,-26,-42,-39,-14,-37,-23,-5,-54,-22,-23,-14,-45,-28,-53,-60,-42,-67,-40,-39,-37,-56,-53,-91,-76,-45,-42,-24,-25,-49,40,-44,198,-19,-34,-21,-43,-58,-32,-26,-31,-23,-36,-34,-36,-27,-32,-33,-40,-36,-35,-35,-23,-33,-31,-32,-33,REST
-13,-31,-53,-37,-37,-20,-22,-82,-18,-37,-36,-13,-39,-32,0,-49,-20,-23,-19,-45,-35,-43,-48,-18,-55,-42,-29,-32,-26,-39,-79,-71,-39,-34,-21,-22,-42,44,-41,199,-15,-30,-10,-43,-46,-23,-22,-26,-16,-34,-33,-31,-27,-34,-33,-34,-32,-33,-36,-27,-30,-29,-34,-32,REST
-11,-34,-54,-39,-40,-27,-29,-89,-22,-42,-41,-20,-45,-35,-8,-51,-24,-27,-23,-51,-37,-59,-69,-35,-65,-64,-43,-43,-44,-49,-85,-85,-51,-45,-34,-34,-57,24,-53,188,-22,-37,-20,-52,-59,-38,-34,-36,-24,-43,-39,-40,-33,-44,-39,-43,-41,-36,-43,-34,-36,-34,-41,-39,REST
-17,-42,-60,-44,-45,-31,-33,-93,-27,-46,-43,-18,-39,-24,-7,-49,-24,-27,-22,-49,-31,-45,-60,-32,-51,-52,-44,-40,-46,-40,-73,-82,-44,-40,-29,-29,-51,22,-42,190,-16,-32,-14,-41,-50,-24,-27,-27,-13,-32,-25,-30,-21,-27,-24,-30,-28,-22,-29,-14,-26,-24,-27,-28,REST
-13,-37,-53,-39,-40,-27,-30,-84,-20,-42,-34,-10,-34,-24,1,-43,-19,-21,-21,-45,-26,-53,-61,-33,-90,-70,-50,-40,-56,-51,-91,-89,-49,-45,-34,-36,-46,18,-52,190,-25,-32,-29,-47,-52,-26,-34,-33,-18,-37,-32,-34,-27,-31,-31,-43,-41,-34,-37,-25,-37,-36,-34,-37,REST
-29,-51,-65,-50,-51,-42,-44,-98,-33,-56,-49,-23,-43,-34,-15,-59,-33,-34,-30,-57,-33,-82,-90,-59,-109,-92,-67,-55,-87,-76,-107,-104,-61,-58,-44,-45,-56,6,-68,176,-32,-44,-40,-59,-65,-38,-44,-42,-29,-46,-38,-39,-32,-40,-36,-49,-43,-37,-40,-30,-39,-40,-39,-36,REST
-32,-53,-64,-48,-49,-36,-39,-106,-35,-55,-44,-18,-34,-31,-22,-57,-31,-27,-20,-44,-28,-65,-77,-45,-80,-72,-50,-45,-67,-60,-89,-91,-48,-45,-31,-32,-47,20,-52,180,-22,-36,-21,-47,-58,-29,-29,-32,-17,-36,-29,-29,-22,-32,-29,-35,-31,-25,-32,-24,-28,-30,-32,-29,REST
-29,-43,-55,-40,-40,-24,-26,-93,-25,-46,-35,-10,-27,-24,-18,-48,-25,-18,-14,-36,-25,-51,-68,-33,-67,-59,-42,-40,-67,-55,-82,-82,-42,-40,-23,-24,-42,22,-51,181,-22,-30,-30,-48,-56,-40,-26,-26,-14,-34,-29,-26,-23,-36,-35,-35,-32,-24,-35,-30,-28,-31,-35,-34,REST
-22,-35,-49,-34,-34,-21,-22,-88,-18,-43,-35,-6,-30,-21,-13,-46,-19,-15,-16,-37,-22,-55,-64,-27,-56,-53,-35,-40,-66,-46,-69,-67,-35,-34,-20,-21,-40,20,-40,176,-10,-42,-20,-45,-46,-33,-11,-14,-6,-24,-21,-20,-17,-32,-27,-20,-17,-13,-25,-19,-15,-20,-23,-22,REST
-7,-25,-39,-27,-29,-16,-19,-73,-5,-34,-32,-6,-31,-26,-4,-39,-9,-9,-15,-37,-26,-48,-72,-30,-57,-48,-26,-33,-50,-30,-52,-54,-29,-27,-20,-21,-36,26,-30,173,-1,-41,-1,-42,-34,-20,-1,-12,-5,-24,-22,-26,-16,-29,-23,-17,-21,-18,-26,-17,-16,-21,-22,-22,REST
-8,-31,-44,-33,-33,-23,-25,-78,-10,-39,-37,-15,-37,-32,-12,-45,-15,-21,-19,-43,-29,-45,-61,-40,-59,-47,-32,-40,-72,-37,-51,-60,-37,-34,-24,-25,-41,20,-41,168,-11,-41,-9,-48,-44,-30,-13,-21,-16,-31,-28,-33,-24,-34,-30,-30,-31,-26,-33,-25,-25,-29,-32,-31,REST
-12,-34,-46,-31,-33,-20,-22,-82,-13,-41,-39,-14,-35,-29,-17,-45,-16,-26,-20,-43,-30,-58,-53,-36,-49,-30,-29,-36,-80,-39,-67,-62,-36,-34,-19,-20,-34,22,-41,172,-11,-37,-14,-43,-38,-30,-4,-16,-8,-29,-22,-33,-21,-32,-29,-25,-26,-23,-33,-26,-24,-28,-32,-29,REST
-16,-35,-48,-31,-32,-18,-19,-79,-12,-41,-42,-13,-34,-31,-16,-44,-16,-26,-21,-44,-36,-58,-60,-39,-61,-39,-35,-42,-68,-44,-77,-64,-37,-37,-20,-21,-40,7,-40,166,-14,-32,-20,-43,-41,-33,-12,-23,-11,-36,-27,-37,-27,-35,-32,-35,-34,-32,-35,-30,-32,-34,-33,-35,REST
-16,-34,-45,-31,-32,-18,-21,-74,-12,-43,-52,-15,-33,-29,-17,-46,-20,-28,-20,-48,-33,-63,-68,-45,-55,-49,-39,-53,-76,-45,-73,-58,-37,-37,-23,-24,-46,1,-43,166,-14,-36,-25,-38,-50,-26,-18,-23,-13,-36,-28,-36,-27,-33,-30,-30,-32,-27,-33,-25,-25,-28,-28,-29,REST
-15,-36,-42,-30,-32,-26,-29,-90,-16,-44,-55,-19,-37,-35,-21,-45,-15,-26,-19,-46,-34,-66,-70,-52,-58,-82,-40,-43,-71,-39,-78,-50,-30,-37,-31,-32,-40,2,-42,170,-5,-36,-11,-40,-35,-26,-12,-16,-7,-27,-22,-33,-21,-32,-30,-22,-27,-24,-34,-23,-21,-25,-26,-26,REST
-16,-40,-43,-36,-37,-32,-33,-92,-18,-47,-52,-24,-40,-40,-24,-52,-20,-32,-27,-49,-40,-59,-71,-54,-51,-27,-43,-42,-77,-40,-88,-63,-40,-43,-33,-33,-46,-12,-54,159,-20,-42,-23,-51,-52,-35,-24,-26,-15,-35,-29,-47,-32,-41,-37,-29,-36,-33,-44,-30,-29,-35,-35,-34,REST
-22,-46,-44,-33,-34,-26,-27,-88,-20,-49,-50,-21,-38,-34,-17,-53,-23,-32,-27,-46,-39,-53,-61,-51,-53,-14,-33,-34,-69,-44,-85,-59,-38,-35,-21,-21,-37,-7,-52,158,-17,-36,-24,-45,-48,-31,-16,-18,-10,-33,-22,-43,-25,-32,-30,-23,-29,-22,-36,-23,-21,-23,-22,-19,REST
-16,-39,-30,-20,-21,-13,-15,-74,-6,-35,-36,-7,-31,-29,-4,-44,-11,-18,-18,-34,-36,-54,-56,-48,-53,-31,-29,-31,-71,-39,-76,-49,-31,-30,-18,-20,-42,-10,-48,154,-13,-39,-20,-43,-44,-35,-14,-21,-13,-36,-22,-42,-26,-33,-35,-26,-31,-24,-41,-27,-24,-25,-25,-22,REST
-27,-49,-40,-32,-34,-28,-31,-95,-22,-49,-48,-22,-44,-40,-27,-56,-23,-31,-30,-55,-47,-53,-64,-52,-50,-42,-40,-47,-49,-33,-86,-54,-42,-42,-33,-33,-52,-16,-59,138,-25,-54,-25,-48,-61,-54,-31,-33,-29,-51,-34,-55,-36,-45,-44,-39,-42,-35,-48,-35,-38,-35,-38,-33,REST
-28,-48,-39,-32,-32,-28,-30,-92,-22,-48,-50,-18,-39,-35,-32,-54,-24,-31,-25,-52,-42,-58,-61,-43,-55,-44,-37,-41,-50,-30,-81,-46,-33,-36,-24,-24,-41,-4,-61,17,-24,-36,-29,-41,-55,-27,-25,-27,-22,-43,-28,-45,-27,-35,-30,-36,-36,-29,-37,-25,-32,-27,-26,-22,REST
-25,-46,-31,-29,-30,-18,-21,-87,-15,-46,-51,-14,-32,-32,-35,-55,-23,-30,-25,-49,-38,-58,-66,-35,-45,-39,-29,-36,-59,-35,-86,-40,-25,-31,-16,-17,-39,-8,-61,-242,-29,-25,-28,-41,-53,-26,-29,-29,-21,-41,-30,-45,-27,-33,-31,-40,-38,-32,-41,-30,-30,-30,-30,-26,REST
-22,-40,-23,-22,-23,-10,-12,-80,-10,-39,-44,-6,-22,-16,-32,-50,-19,-25,-16,-45,-26,-56,-65,-37,-42,-29,-15,-31,-62,-30,-69,-32,-17,-24,-8,-9,-27,-7,-53,-275,-19,-27,-20,-36,-50,-21,-25,-25,-18,-33,-22,-41,-21,-27,-26,-32,-31,-25,-35,-21,-27,-25,-25,-25,REST
-15,-33,-18,-15,-17,-4,-7,-78,-1,-31,-37,-1,-21,-18,-27,-48,-16,-22,-16,-49,-29,-37,-40,-18,-37,-18,-7,-22,-65,-22,-63,-26,-14,-22,-7,-8,-14,2,-50,-250,-7,-25,-21,-35,-42,-17,-18,-25,-18,-31,-22,-40,-23,-27,-26,-28,-32,-26,-35,-21,-28,-26,-24,-24,REST
-19,-40,-24,-23,-24,-11,-14,-87,-9,-41,-45,-14,-34,-30,-32,-56,-23,-31,-29,-58,-39,-47,-44,-25,-46,-40,-22,-38,-60,-29,-81,-42,-24,-32,-17,-18,-29,-7,-60,-257,-20,-36,-20,-50,-49,-33,-29,-31,-26,-40,-33,-46,-36,-41,-40,-40,-41,-39,-49,-36,-39,-39,-36,-40,REST
-15,-36,-23,-25,-26,-16,-18,-79,-7,-41,-40,-17,-38,-33,-24,-49,-21,-31,-27,-60,-42,-59,-56,-31,-52,-35,-16,-33,-55,-26,-59,-31,-14,-22,-11,-11,-24,-6,-47,-256,-8,-37,-2,-49,-38,-35,-21,-20,-14,-30,-25,-33,-30,-36,-36,-32,-27,-29,-40,-27,-27,-27,-27,-32,REST
10,-15,-2,-8,-8,1,-1,-57,15,-19,-17,-1,-26,-23,-9,-30,-1,-12,-12,-41,-34,-40,-46,-14,-56,-58,1,-21,-48,-17,-46,-3,7,-4,2,1,-14,0,-30,-239,11,-26,2,-41,-25,-25,-6,-5,-3,-17,-12,-20,-16,-24,-25,-20,-14,-18,-29,-16,-20,-21,-21,-25,REST
6,-14,-1,-5,-6,-2,-4,-60,17,-20,-15,3,-20,-17,-10,-30,0,-12,-8,-34,-24,-42,-37,-26,-42,-28,-6,-29,-45,-25,-69,-23,-15,-20,-6,-8,-20,-6,-42,-56,-12,-28,-14,-48,-38,-30,-15,-14,-13,-27,-19,-29,-20,-27,-29,-34,-23,-25,-34,-23,-33,-32,-33,-38,REST
-4,-26,-12,-9,-10,-4,-7,-67,7,-25,-15,7,-12,-12,-17,-34,-5,-14,-6,-30,-20,-39,-45,-31,-33,-8,-7,-26,-55,-24,-66,-37,-25,-23,-3,-3,-12,1,-41,150,1,-15,3,-41,-33,-22,-9,-10,-8,-23,-11,-18,-5,-12,-15,-22,-15,-14,-18,-9,-23,-19,-16,-24,REST
-9,-29,-12,-6,-7,2,-1,-78,6,-22,-11,12,-5,-5,-24,-33,-4,-10,1,-24,-13,-39,-60,-25,-34,-18,-8,-26,-70,-23,-58,-32,-24,-23,-4,-5,-12,-4,-39,191,-1,-16,-6,-34,-32,-3,-6,-9,-9,-22,-14,-18,-7,-15,-15,-21,-21,-20,-22,-13,-26,-26,-21,-32,REST
-12,-33,-19,-17,-18,-13,-14,-81,1,-35,-24,-2,-17,-21,-35,-44,-16,-20,-8,-33,-22,-56,-65,-32,-49,-30,-20,-39,-70,-37,-73,-34,-36,-34,-18,-19,-21,-19,-53,194,-23,-27,-26,-33,-51,-17,-27,-23,-22,-35,-26,-31,-18,-26,-25,-42,-34,-36,-32,-25,-39,-39,-34,-41,REST
-16,-39,-20,-24,-24,-13,-15,-79,-2,-39,-26,-4,-20,-17,-34,-45,-20,-20,-10,-34,-23,-50,-54,-31,-62,-30,-14,-35,-68,-35,-73,-34,-36,-28,-8,-10,-10,-17,-46,215,-14,-25,-25,-33,-43,-22,-21,-18,-18,-32,-27,-36,-20,-28,-29,-38,-29,-39,-38,-30,-38,-38,-37,-40,REST
-12,-36,-18,-25,-24,-6,-8,-80,0,-37,-26,-5,-26,-23,-34,-45,-20,-24,-14,-37,-31,-52,-59,-27,-52,-35,-14,-42,-83,-33,-71,-40,-39,-31,-13,-14,-10,-20,-46,210,-14,-31,-20,-43,-46,-30,-20,-22,-17,-30,-27,-40,-26,-33,-34,-40,-28,-35,-42,-32,-38,-39,-37,-43,REST
-12,-34,-20,-25,-25,-16,-18,-76,3,-34,-27,-3,-29,-29,-23,-34,-13,-21,-13,-34,-31,-45,-59,-37,-53,-39,-14,-31,-83,-28,-71,-30,-31,-29,-15,-16,-2,-6,-39,223,-8,-27,-11,-39,-33,-26,-8,-9,-6,-18,-16,-28,-17,-24,-24,-25,-13,-22,-30,-17,-23,-26,-26,-29,REST
-9,-26,-8,-20,-22,-8,-12,-67,13,-27,-26,-2,-21,-24,-11,-26,-8,-15,-8,-30,-29,-39,-61,-36,-36,-23,-13,-32,-96,-17,-75,-27,-29,-29,-13,-14,-8,-13,-41,225,-7,-26,-25,-40,-36,-23,-6,-10,-10,-21,-16,-29,-21,-25,-26,-26,-18,-27,-33,-23,-29,-37,-33,-34,REST
-20,-37,-21,-36,-37,-21,-23,-82,2,-43,-37,-18,-32,-33,-25,-39,-23,-27,-22,-37,-37,-45,-69,-49,-59,-39,-24,-43,-81,-31,-83,-29,-41,-39,-23,-24,-15,-23,-49,218,-15,-29,-14,-48,-51,-32,-23,-24,-27,-33,-29,-40,-30,-35,-37,-42,-34,-42,-45,-38,-46,-54,-49,-48,REST
